imgA,imgB,kpA,kpB,good_matches
magasinA-00.jpg,magasinB-00.jpg,500,500,155
magasinA-01.jpg,magasinB-01.jpg,500,500,152
magasinA-02.jpg,magasinB-02.jpg,500,500,164
magasinA-03.jpg,magasinB-03.jpg,500,500,159
magasinA-04.jpg,magasinB-04.jpg,500,500,149
magasinA-05.jpg,magasinB-05.jpg,500,500,144
magasinA-06.jpg,magasinB-06.jpg,500,500,149
magasinA-07.jpg,magasinB-07.jpg,500,500,161
magasinA-08.jpg,magasinB-08.jpg,500,500,149
magasinA-09.jpg,magasinB-09.jpg,500,500,136
magasinA-10.jpg,magasinB-10.jpg,500,500,147
