A_index,B_index,erreur
< cv2.DMatch 000001FB595972F0>,< cv2.DMatch 000001FB59596A30>,1155
< cv2.DMatch 000001FB59597D90>,< cv2.DMatch 000001FB59597F70>,1337
< cv2.DMatch 000001FB59597E30>,< cv2.DMatch 000001FB595971F0>,1199
< cv2.DMatch 000001FB595979F0>,< cv2.DMatch 000001FB59597C30>,1780
< cv2.DMatch 000001FB59597D70>,< cv2.DMatch 000001FB59596FD0>,1344
< cv2.DMatch 000001FB59597B50>,< cv2.DMatch 000001FB59596810>,1658
< cv2.DMatch 000001FB59597550>,< cv2.DMatch 000001FB59597630>,584
< cv2.DMatch 000001FB595976B0>,< cv2.DMatch 000001FB59597570>,1117
< cv2.DMatch 000001FB59597730>,< cv2.DMatch 000001FB59596F90>,456
< cv2.DMatch 000001FB59596BB0>,< cv2.DMatch 000001FB59596990>,3151
< cv2.DMatch 000001FB59597C50>,< cv2.DMatch 000001FB59596910>,558
< cv2.DMatch 000001FB59596B50>,< cv2.DMatch 000001FB595974F0>,1157
< cv2.DMatch 000001FB59596E90>,< cv2.DMatch 000001FB59596CF0>,2182
< cv2.DMatch 000001FB59596CB0>,< cv2.DMatch 000001FB595969F0>,1028
< cv2.DMatch 000001FB59596A10>,< cv2.DMatch 000001FB595969D0>,2726
< cv2.DMatch 000001FB595969B0>,< cv2.DMatch 000001FB59596970>,209
< cv2.DMatch 000001FB59596950>,< cv2.DMatch 000001FB59596930>,613
< cv2.DMatch 000001FB595968F0>,< cv2.DMatch 000001FB595968D0>,2553
< cv2.DMatch 000001FB595968B0>,< cv2.DMatch 000001FB59596890>,26
< cv2.DMatch 000001FB59596870>,< cv2.DMatch 000001FB59596850>,3
< cv2.DMatch 000001FB59596830>,< cv2.DMatch 000001FB595967F0>,2658
< cv2.DMatch 000001FB595967D0>,< cv2.DMatch 000001FB595967B0>,1281
< cv2.DMatch 000001FB59596790>,< cv2.DMatch 000001FB59596770>,214
< cv2.DMatch 000001FB59596750>,< cv2.DMatch 000001FB59596710>,670
< cv2.DMatch 000001FB595966F0>,< cv2.DMatch 000001FB595966D0>,1086
< cv2.DMatch 000001FB59596650>,< cv2.DMatch 000001FB59596A50>,2178
< cv2.DMatch 000001FB59596A70>,< cv2.DMatch 000001FB59596A90>,380
< cv2.DMatch 000001FB59596AB0>,< cv2.DMatch 000001FB59596AD0>,291
< cv2.DMatch 000001FB59596AF0>,< cv2.DMatch 000001FB59596B10>,432
< cv2.DMatch 000001FB59596B30>,< cv2.DMatch 000001FB59596B70>,886
< cv2.DMatch 000001FB59596B90>,< cv2.DMatch 000001FB59596BD0>,1322
< cv2.DMatch 000001FB59596BF0>,< cv2.DMatch 000001FB59596C10>,2167
< cv2.DMatch 000001FB59596C30>,< cv2.DMatch 000001FB59596C50>,2345
< cv2.DMatch 000001FB59596C70>,< cv2.DMatch 000001FB59596C90>,1624
< cv2.DMatch 000001FB59596CD0>,< cv2.DMatch 000001FB59596D10>,1529
< cv2.DMatch 000001FB59596D30>,< cv2.DMatch 000001FB59596D50>,938
< cv2.DMatch 000001FB59596D70>,< cv2.DMatch 000001FB59596D90>,2117
< cv2.DMatch 000001FB59596DB0>,< cv2.DMatch 000001FB59596DD0>,950
< cv2.DMatch 000001FB59596DF0>,< cv2.DMatch 000001FB59596E10>,409
< cv2.DMatch 000001FB59596E30>,< cv2.DMatch 000001FB59596E70>,825
< cv2.DMatch 000001FB59596EB0>,< cv2.DMatch 000001FB59596ED0>,22
< cv2.DMatch 000001FB59596EF0>,< cv2.DMatch 000001FB59596F10>,194
< cv2.DMatch 000001FB59596F30>,< cv2.DMatch 000001FB59596F50>,2371
< cv2.DMatch 000001FB59596F70>,< cv2.DMatch 000001FB59596FB0>,86
< cv2.DMatch 000001FB59596FF0>,< cv2.DMatch 000001FB59597010>,1490
< cv2.DMatch 000001FB59597030>,< cv2.DMatch 000001FB59597050>,844
< cv2.DMatch 000001FB59597070>,< cv2.DMatch 000001FB59597090>,440
< cv2.DMatch 000001FB595970B0>,< cv2.DMatch 000001FB595970D0>,1578
< cv2.DMatch 000001FB595970F0>,< cv2.DMatch 000001FB59597110>,2466
< cv2.DMatch 000001FB59597130>,< cv2.DMatch 000001FB59597150>,1187
< cv2.DMatch 000001FB59597170>,< cv2.DMatch 000001FB59597190>,1765
< cv2.DMatch 000001FB595971B0>,< cv2.DMatch 000001FB595971D0>,292
< cv2.DMatch 000001FB59597210>,< cv2.DMatch 000001FB59597230>,83
< cv2.DMatch 000001FB59597250>,< cv2.DMatch 000001FB59597270>,1180
< cv2.DMatch 000001FB59597290>,< cv2.DMatch 000001FB595972B0>,600
< cv2.DMatch 000001FB595972D0>,< cv2.DMatch 000001FB59597310>,290
< cv2.DMatch 000001FB59597330>,< cv2.DMatch 000001FB59597350>,2052
< cv2.DMatch 000001FB59597370>,< cv2.DMatch 000001FB59597390>,347
< cv2.DMatch 000001FB595973B0>,< cv2.DMatch 000001FB595973D0>,200
< cv2.DMatch 000001FB595973F0>,< cv2.DMatch 000001FB59597410>,241
< cv2.DMatch 000001FB59597430>,< cv2.DMatch 000001FB59597450>,1420
< cv2.DMatch 000001FB59597470>,< cv2.DMatch 000001FB59597490>,730
< cv2.DMatch 000001FB595974B0>,< cv2.DMatch 000001FB595974D0>,408
< cv2.DMatch 000001FB59597510>,< cv2.DMatch 000001FB59597530>,2462
< cv2.DMatch 000001FB595975B0>,< cv2.DMatch 000001FB595975D0>,982
< cv2.DMatch 000001FB595975F0>,< cv2.DMatch 000001FB59597610>,944
< cv2.DMatch 000001FB59597650>,< cv2.DMatch 000001FB59597670>,1919
< cv2.DMatch 000001FB59597690>,< cv2.DMatch 000001FB595976F0>,74
< cv2.DMatch 000001FB59597710>,< cv2.DMatch 000001FB59597750>,2018
< cv2.DMatch 000001FB59597770>,< cv2.DMatch 000001FB59597790>,347
< cv2.DMatch 000001FB595977B0>,< cv2.DMatch 000001FB595977D0>,837
< cv2.DMatch 000001FB595977F0>,< cv2.DMatch 000001FB59597810>,480
< cv2.DMatch 000001FB59597830>,< cv2.DMatch 000001FB59597850>,239
< cv2.DMatch 000001FB59597870>,< cv2.DMatch 000001FB59597890>,1183
< cv2.DMatch 000001FB595978D0>,< cv2.DMatch 000001FB595978F0>,1671
< cv2.DMatch 000001FB59597910>,< cv2.DMatch 000001FB59597930>,852
< cv2.DMatch 000001FB59597950>,< cv2.DMatch 000001FB59597970>,1888
< cv2.DMatch 000001FB59597990>,< cv2.DMatch 000001FB595979B0>,451
< cv2.DMatch 000001FB595979D0>,< cv2.DMatch 000001FB59597A10>,1240
< cv2.DMatch 000001FB59597A30>,< cv2.DMatch 000001FB59597A50>,647
< cv2.DMatch 000001FB59597A70>,< cv2.DMatch 000001FB59597A90>,163
< cv2.DMatch 000001FB59597AD0>,< cv2.DMatch 000001FB59597AF0>,983
< cv2.DMatch 000001FB59597B10>,< cv2.DMatch 000001FB59597B30>,1105
< cv2.DMatch 000001FB59597B70>,< cv2.DMatch 000001FB59597B90>,1375
< cv2.DMatch 000001FB59597BB0>,< cv2.DMatch 000001FB59597BD0>,586
< cv2.DMatch 000001FB59597BF0>,< cv2.DMatch 000001FB59597C10>,1402
< cv2.DMatch 000001FB59597C70>,< cv2.DMatch 000001FB59597C90>,649
< cv2.DMatch 000001FB59597CB0>,< cv2.DMatch 000001FB59597CD0>,626
< cv2.DMatch 000001FB59597CF0>,< cv2.DMatch 000001FB59597D10>,804
< cv2.DMatch 000001FB59597D30>,< cv2.DMatch 000001FB59597D50>,1862
< cv2.DMatch 000001FB59597DB0>,< cv2.DMatch 000001FB59597DD0>,537
< cv2.DMatch 000001FB59597DF0>,< cv2.DMatch 000001FB59597E10>,1252
< cv2.DMatch 000001FB59597E50>,< cv2.DMatch 000001FB59597E70>,1495
< cv2.DMatch 000001FB59597E90>,< cv2.DMatch 000001FB59597EB0>,1552
< cv2.DMatch 000001FB59597ED0>,< cv2.DMatch 000001FB59597EF0>,1135
< cv2.DMatch 000001FB59597F10>,< cv2.DMatch 000001FB59597F30>,2763
< cv2.DMatch 000001FB59597F50>,< cv2.DMatch 000001FB59597F90>,1248
< cv2.DMatch 000001FB59597FB0>,< cv2.DMatch 000001FB59597FD0>,1821
< cv2.DMatch 000001FB596206B0>,< cv2.DMatch 000001FB59622BB0>,2042
< cv2.DMatch 000001FB596235D0>,< cv2.DMatch 000001FB59621910>,2545
< cv2.DMatch 000001FB596238D0>,< cv2.DMatch 000001FB59621010>,225
< cv2.DMatch 000001FB59621970>,< cv2.DMatch 000001FB59621FD0>,575
< cv2.DMatch 000001FB59623F30>,< cv2.DMatch 000001FB596209B0>,268
< cv2.DMatch 000001FB596200B0>,< cv2.DMatch 000001FB59620050>,795
< cv2.DMatch 000001FB59620230>,< cv2.DMatch 000001FB596202B0>,1783
< cv2.DMatch 000001FB59620890>,< cv2.DMatch 000001FB596209D0>,880
< cv2.DMatch 000001FB59623B30>,< cv2.DMatch 000001FB59623490>,989
< cv2.DMatch 000001FB59621150>,< cv2.DMatch 000001FB59623930>,523
< cv2.DMatch 000001FB59622010>,< cv2.DMatch 000001FB59623FB0>,276
< cv2.DMatch 000001FB59621030>,< cv2.DMatch 000001FB59622290>,2437
< cv2.DMatch 000001FB59621A70>,< cv2.DMatch 000001FB59620690>,224
< cv2.DMatch 000001FB59623590>,< cv2.DMatch 000001FB59620650>,1129
< cv2.DMatch 000001FB59622D10>,< cv2.DMatch 000001FB596205B0>,569
< cv2.DMatch 000001FB59623290>,< cv2.DMatch 000001FB59623B10>,131
< cv2.DMatch 000001FB59620670>,< cv2.DMatch 000001FB59621070>,174
< cv2.DMatch 000001FB59621EF0>,< cv2.DMatch 000001FB596227F0>,2873
< cv2.DMatch 000001FB596224F0>,< cv2.DMatch 000001FB596206F0>,107
< cv2.DMatch 000001FB59620770>,< cv2.DMatch 000001FB596219D0>,2255
< cv2.DMatch 000001FB596223B0>,< cv2.DMatch 000001FB59622E10>,68
< cv2.DMatch 000001FB59623270>,< cv2.DMatch 000001FB59623DF0>,893
< cv2.DMatch 000001FB59622A90>,< cv2.DMatch 000001FB59622BD0>,1252
< cv2.DMatch 000001FB596236B0>,< cv2.DMatch 000001FB59621350>,1
< cv2.DMatch 000001FB59621610>,< cv2.DMatch 000001FB59622250>,2866
< cv2.DMatch 000001FB596203D0>,< cv2.DMatch 000001FB59620450>,152
< cv2.DMatch 000001FB596206D0>,< cv2.DMatch 000001FB59621370>,1509
< cv2.DMatch 000001FB59622190>,< cv2.DMatch 000001FB596226B0>,1065
< cv2.DMatch 000001FB596238F0>,< cv2.DMatch 000001FB59621D70>,1087
< cv2.DMatch 000001FB59623570>,< cv2.DMatch 000001FB596215D0>,1098
< cv2.DMatch 000001FB59621B90>,< cv2.DMatch 000001FB59622AB0>,2070
< cv2.DMatch 000001FB596237D0>,< cv2.DMatch 000001FB596219F0>,507
< cv2.DMatch 000001FB59620130>,< cv2.DMatch 000001FB59621170>,254
< cv2.DMatch 000001FB59620EF0>,< cv2.DMatch 000001FB59622810>,816
< cv2.DMatch 000001FB596230F0>,< cv2.DMatch 000001FB59622A10>,1111
< cv2.DMatch 000001FB59621F10>,< cv2.DMatch 000001FB59623F90>,2446
< cv2.DMatch 000001FB59620D70>,< cv2.DMatch 000001FB596212D0>,967
< cv2.DMatch 000001FB59621530>,< cv2.DMatch 000001FB59621CB0>,163
< cv2.DMatch 000001FB59622E30>,< cv2.DMatch 000001FB59622F70>,297
< cv2.DMatch 000001FB59622FB0>,< cv2.DMatch 000001FB596235B0>,704
< cv2.DMatch 000001FB596239F0>,< cv2.DMatch 000001FB59620E50>,1055
< cv2.DMatch 000001FB59620FF0>,< cv2.DMatch 000001FB59622750>,145
< cv2.DMatch 000001FB59622950>,< cv2.DMatch 000001FB59622970>,986
< cv2.DMatch 000001FB59623750>,< cv2.DMatch 000001FB59623830>,3055
< cv2.DMatch 000001FB59623BD0>,< cv2.DMatch 000001FB596214B0>,355
< cv2.DMatch 000001FB59621570>,< cv2.DMatch 000001FB59621BD0>,2928
< cv2.DMatch 000001FB59622150>,< cv2.DMatch 000001FB59622830>,2217
< cv2.DMatch 000001FB596229F0>,< cv2.DMatch 000001FB59622EB0>,152
< cv2.DMatch 000001FB59623710>,< cv2.DMatch 000001FB59623810>,628
< cv2.DMatch 000001FB59623910>,< cv2.DMatch 000001FB59623AD0>,1323
< cv2.DMatch 000001FB59621AD0>,< cv2.DMatch 000001FB59622B50>,2332
< cv2.DMatch 000001FB59622F50>,< cv2.DMatch 000001FB59622B90>,2545
< cv2.DMatch 000001FB59622C50>,< cv2.DMatch 000001FB59620D50>,1147
< cv2.DMatch 000001FB59620D90>,< cv2.DMatch 000001FB59620DB0>,1383
< cv2.DMatch 000001FB59620DD0>,< cv2.DMatch 000001FB59620DF0>,1336
< cv2.DMatch 000001FB59620E10>,< cv2.DMatch 000001FB59620E30>,135
< cv2.DMatch 000001FB59620E70>,< cv2.DMatch 000001FB59620E90>,129
< cv2.DMatch 000001FB59620EB0>,< cv2.DMatch 000001FB59620ED0>,891
< cv2.DMatch 000001FB59620F10>,< cv2.DMatch 000001FB59620F30>,3039
< cv2.DMatch 000001FB59620F50>,< cv2.DMatch 000001FB59620F70>,282
< cv2.DMatch 000001FB59620F90>,< cv2.DMatch 000001FB59620FB0>,2138
< cv2.DMatch 000001FB59620FD0>,< cv2.DMatch 000001FB59621050>,85
< cv2.DMatch 000001FB59621090>,< cv2.DMatch 000001FB596210B0>,14
< cv2.DMatch 000001FB596210D0>,< cv2.DMatch 000001FB596210F0>,2196
< cv2.DMatch 000001FB59621110>,< cv2.DMatch 000001FB59621130>,988
< cv2.DMatch 000001FB59621190>,< cv2.DMatch 000001FB596211B0>,1537
< cv2.DMatch 000001FB596211D0>,< cv2.DMatch 000001FB596211F0>,171
< cv2.DMatch 000001FB59621210>,< cv2.DMatch 000001FB59621230>,2775
< cv2.DMatch 000001FB59621250>,< cv2.DMatch 000001FB59621270>,1788
< cv2.DMatch 000001FB59621290>,< cv2.DMatch 000001FB596212B0>,1253
< cv2.DMatch 000001FB596212F0>,< cv2.DMatch 000001FB59621310>,1472
< cv2.DMatch 000001FB59621330>,< cv2.DMatch 000001FB59621390>,394
< cv2.DMatch 000001FB596213B0>,< cv2.DMatch 000001FB596213D0>,902
< cv2.DMatch 000001FB596213F0>,< cv2.DMatch 000001FB59621410>,839
< cv2.DMatch 000001FB59621430>,< cv2.DMatch 000001FB59621450>,1129
< cv2.DMatch 000001FB59621490>,< cv2.DMatch 000001FB596214D0>,83
< cv2.DMatch 000001FB596214F0>,< cv2.DMatch 000001FB59621510>,694
< cv2.DMatch 000001FB59621550>,< cv2.DMatch 000001FB59621590>,394
< cv2.DMatch 000001FB596215B0>,< cv2.DMatch 000001FB596215F0>,1327
< cv2.DMatch 000001FB59621630>,< cv2.DMatch 000001FB59621650>,1540
< cv2.DMatch 000001FB59621670>,< cv2.DMatch 000001FB59621690>,2670
< cv2.DMatch 000001FB596216B0>,< cv2.DMatch 000001FB596216D0>,1701
< cv2.DMatch 000001FB596216F0>,< cv2.DMatch 000001FB59621710>,1831
< cv2.DMatch 000001FB59621730>,< cv2.DMatch 000001FB59621750>,1034
< cv2.DMatch 000001FB59621770>,< cv2.DMatch 000001FB59621790>,1151
< cv2.DMatch 000001FB596217B0>,< cv2.DMatch 000001FB596217D0>,2334
< cv2.DMatch 000001FB596217F0>,< cv2.DMatch 000001FB59621810>,1288
< cv2.DMatch 000001FB59621830>,< cv2.DMatch 000001FB59621850>,257
< cv2.DMatch 000001FB59621870>,< cv2.DMatch 000001FB59621890>,1931
< cv2.DMatch 000001FB596218B0>,< cv2.DMatch 000001FB596218D0>,54
< cv2.DMatch 000001FB59621930>,< cv2.DMatch 000001FB59621950>,11
< cv2.DMatch 000001FB59621990>,< cv2.DMatch 000001FB596219B0>,167
< cv2.DMatch 000001FB59621A10>,< cv2.DMatch 000001FB59621A30>,553
< cv2.DMatch 000001FB59621A50>,< cv2.DMatch 000001FB59621A90>,1181
< cv2.DMatch 000001FB59621AB0>,< cv2.DMatch 000001FB59621AF0>,2233
< cv2.DMatch 000001FB59621B10>,< cv2.DMatch 000001FB59621B30>,1655
< cv2.DMatch 000001FB59621B70>,< cv2.DMatch 000001FB59621BB0>,1508
< cv2.DMatch 000001FB59621BF0>,< cv2.DMatch 000001FB59621C10>,1470
< cv2.DMatch 000001FB59621C30>,< cv2.DMatch 000001FB59621C50>,340
< cv2.DMatch 000001FB59621C70>,< cv2.DMatch 000001FB59621C90>,1238
< cv2.DMatch 000001FB59621CD0>,< cv2.DMatch 000001FB59621CF0>,1165
< cv2.DMatch 000001FB59621D10>,< cv2.DMatch 000001FB59621D30>,53
< cv2.DMatch 000001FB59621D50>,< cv2.DMatch 000001FB59621D90>,40
< cv2.DMatch 000001FB59621DB0>,< cv2.DMatch 000001FB59621DD0>,939
< cv2.DMatch 000001FB59621DF0>,< cv2.DMatch 000001FB59621E10>,394
< cv2.DMatch 000001FB59621E30>,< cv2.DMatch 000001FB59621E50>,1826
< cv2.DMatch 000001FB59621E70>,< cv2.DMatch 000001FB59621E90>,220
< cv2.DMatch 000001FB59621EB0>,< cv2.DMatch 000001FB59621ED0>,1808
< cv2.DMatch 000001FB59621F30>,< cv2.DMatch 000001FB59621F50>,160
< cv2.DMatch 000001FB59621F70>,< cv2.DMatch 000001FB59621F90>,2825
< cv2.DMatch 000001FB59621FB0>,< cv2.DMatch 000001FB59621FF0>,797
< cv2.DMatch 000001FB59622030>,< cv2.DMatch 000001FB59622050>,712
< cv2.DMatch 000001FB59622070>,< cv2.DMatch 000001FB59622090>,1765
< cv2.DMatch 000001FB596220B0>,< cv2.DMatch 000001FB596220D0>,440
< cv2.DMatch 000001FB596220F0>,< cv2.DMatch 000001FB59622110>,180
< cv2.DMatch 000001FB59622130>,< cv2.DMatch 000001FB59622170>,343
< cv2.DMatch 000001FB596221B0>,< cv2.DMatch 000001FB596221D0>,2128
< cv2.DMatch 000001FB596221F0>,< cv2.DMatch 000001FB59622210>,63
< cv2.DMatch 000001FB59622230>,< cv2.DMatch 000001FB59622270>,2377
< cv2.DMatch 000001FB596222B0>,< cv2.DMatch 000001FB596222D0>,111
< cv2.DMatch 000001FB596222F0>,< cv2.DMatch 000001FB59622310>,2012
< cv2.DMatch 000001FB59622330>,< cv2.DMatch 000001FB59622350>,1262
< cv2.DMatch 000001FB59622370>,< cv2.DMatch 000001FB59622390>,1926
< cv2.DMatch 000001FB596223D0>,< cv2.DMatch 000001FB596223F0>,328
< cv2.DMatch 000001FB59622410>,< cv2.DMatch 000001FB59622430>,91
< cv2.DMatch 000001FB59622450>,< cv2.DMatch 000001FB59622470>,849
< cv2.DMatch 000001FB59622490>,< cv2.DMatch 000001FB596224B0>,844
< cv2.DMatch 000001FB596224D0>,< cv2.DMatch 000001FB59622510>,360
< cv2.DMatch 000001FB59622530>,< cv2.DMatch 000001FB59622550>,1997
< cv2.DMatch 000001FB59622570>,< cv2.DMatch 000001FB59622590>,1679
< cv2.DMatch 000001FB596225B0>,< cv2.DMatch 000001FB596225D0>,2517
< cv2.DMatch 000001FB596225F0>,< cv2.DMatch 000001FB59622610>,822
< cv2.DMatch 000001FB59622630>,< cv2.DMatch 000001FB59622650>,619
< cv2.DMatch 000001FB59622670>,< cv2.DMatch 000001FB59622690>,100
< cv2.DMatch 000001FB596226D0>,< cv2.DMatch 000001FB596226F0>,1145
< cv2.DMatch 000001FB59622710>,< cv2.DMatch 000001FB59622730>,1848
< cv2.DMatch 000001FB59622770>,< cv2.DMatch 000001FB59622790>,359
< cv2.DMatch 000001FB596227B0>,< cv2.DMatch 000001FB596227D0>,1139
< cv2.DMatch 000001FB59622850>,< cv2.DMatch 000001FB59622870>,78
< cv2.DMatch 000001FB59622890>,< cv2.DMatch 000001FB596228B0>,227
< cv2.DMatch 000001FB596228D0>,< cv2.DMatch 000001FB596228F0>,769
< cv2.DMatch 000001FB59622910>,< cv2.DMatch 000001FB59622930>,366
< cv2.DMatch 000001FB59622990>,< cv2.DMatch 000001FB596229B0>,2381
< cv2.DMatch 000001FB596229D0>,< cv2.DMatch 000001FB59622A30>,354
< cv2.DMatch 000001FB59622A50>,< cv2.DMatch 000001FB59622A70>,889
< cv2.DMatch 000001FB59622AD0>,< cv2.DMatch 000001FB59622AF0>,2970
< cv2.DMatch 000001FB59622B10>,< cv2.DMatch 000001FB59622B30>,824
< cv2.DMatch 000001FB59622B70>,< cv2.DMatch 000001FB59622BF0>,2177
< cv2.DMatch 000001FB59622C10>,< cv2.DMatch 000001FB59622C30>,1063
< cv2.DMatch 000001FB59622C70>,< cv2.DMatch 000001FB59622C90>,1987
< cv2.DMatch 000001FB59622CB0>,< cv2.DMatch 000001FB59622CD0>,912
< cv2.DMatch 000001FB59622CF0>,< cv2.DMatch 000001FB59622D30>,2565
< cv2.DMatch 000001FB59622D50>,< cv2.DMatch 000001FB59622D70>,296
< cv2.DMatch 000001FB59622D90>,< cv2.DMatch 000001FB59622DB0>,976
< cv2.DMatch 000001FB59622DD0>,< cv2.DMatch 000001FB59622DF0>,378
< cv2.DMatch 000001FB59622E50>,< cv2.DMatch 000001FB59622E70>,965
< cv2.DMatch 000001FB59622E90>,< cv2.DMatch 000001FB59622ED0>,823
< cv2.DMatch 000001FB59622EF0>,< cv2.DMatch 000001FB59622F10>,87
< cv2.DMatch 000001FB59622F30>,< cv2.DMatch 000001FB59622F90>,1417
< cv2.DMatch 000001FB59622FD0>,< cv2.DMatch 000001FB59622FF0>,816
< cv2.DMatch 000001FB59623010>,< cv2.DMatch 000001FB59623030>,917
< cv2.DMatch 000001FB59623050>,< cv2.DMatch 000001FB59623070>,1147
< cv2.DMatch 000001FB59623090>,< cv2.DMatch 000001FB596230B0>,648
< cv2.DMatch 000001FB596230D0>,< cv2.DMatch 000001FB59623110>,1107
< cv2.DMatch 000001FB59623130>,< cv2.DMatch 000001FB59623150>,1016
< cv2.DMatch 000001FB59623170>,< cv2.DMatch 000001FB59623190>,2146
< cv2.DMatch 000001FB596231B0>,< cv2.DMatch 000001FB596231D0>,1398
< cv2.DMatch 000001FB596231F0>,< cv2.DMatch 000001FB59623210>,202
< cv2.DMatch 000001FB59623230>,< cv2.DMatch 000001FB59623250>,1650
< cv2.DMatch 000001FB596232B0>,< cv2.DMatch 000001FB596232D0>,2164
< cv2.DMatch 000001FB596232F0>,< cv2.DMatch 000001FB59623310>,628
< cv2.DMatch 000001FB59623330>,< cv2.DMatch 000001FB59623350>,1484
< cv2.DMatch 000001FB59623370>,< cv2.DMatch 000001FB59623390>,403
< cv2.DMatch 000001FB596233B0>,< cv2.DMatch 000001FB596233D0>,1261
< cv2.DMatch 000001FB596233F0>,< cv2.DMatch 000001FB59623410>,1466
< cv2.DMatch 000001FB59623430>,< cv2.DMatch 000001FB59623450>,1257
< cv2.DMatch 000001FB59623470>,< cv2.DMatch 000001FB596234B0>,2171
< cv2.DMatch 000001FB596234D0>,< cv2.DMatch 000001FB59623510>,1221
< cv2.DMatch 000001FB59623530>,< cv2.DMatch 000001FB59623550>,1446
< cv2.DMatch 000001FB596235F0>,< cv2.DMatch 000001FB59623610>,355
< cv2.DMatch 000001FB59623630>,< cv2.DMatch 000001FB59623650>,166
< cv2.DMatch 000001FB59623670>,< cv2.DMatch 000001FB59623690>,469
< cv2.DMatch 000001FB596236D0>,< cv2.DMatch 000001FB596236F0>,1213
< cv2.DMatch 000001FB59623730>,< cv2.DMatch 000001FB59623770>,369
< cv2.DMatch 000001FB59623790>,< cv2.DMatch 000001FB596237B0>,362
< cv2.DMatch 000001FB596237F0>,< cv2.DMatch 000001FB59623850>,165
< cv2.DMatch 000001FB59623870>,< cv2.DMatch 000001FB59623890>,201
< cv2.DMatch 000001FB596238B0>,< cv2.DMatch 000001FB59623950>,581
