imgA,imgB,kpA,kpB,good_matches
magasinA-00.jpg,magasinB-00.jpg,3145,3006,139
magasinA-01.jpg,magasinB-01.jpg,2229,2263,169
magasinA-02.jpg,magasinB-02.jpg,1931,1987,176
magasinA-03.jpg,magasinB-03.jpg,2187,2208,69
magasinA-04.jpg,magasinB-04.jpg,2430,2579,66
magasinA-05.jpg,magasinB-05.jpg,2401,2042,47
magasinA-06.jpg,magasinB-06.jpg,1991,1914,46
magasinA-07.jpg,magasinB-07.jpg,1902,1989,37
magasinA-08.jpg,magasinB-08.jpg,2016,2319,76
magasinA-09.jpg,magasinB-09.jpg,2276,1723,54
magasinA-10.jpg,magasinB-10.jpg,1790,1916,19
